tracking_id	FPKM
ENSMUSG00000102693	0
ENSMUSG00000064842	0
ENSMUSG00000102348	0
ENSMUSG00000102592	0
ENSMUSG00000088333	0
ENSMUSG00000102343	0
ENSMUSG00000025900	2.65577
ENSMUSG00000102948	0
ENSMUSG00000104123	0
ENSMUSG00000096126	0
ENSMUSG00000102735	0
ENSMUSG00000102269	0.574576
ENSMUSG00000102175	0
ENSMUSG00000088000	0
ENSMUSG00000103003	0
ENSMUSG00000051951	0.0292273
ENSMUSG00000102851	0
ENSMUSG00000103377	0
ENSMUSG00000104017	0
ENSMUSG00000103025	0
ENSMUSG00000103201	0
ENSMUSG00000089699	0
ENSMUSG00000103147	0
ENSMUSG00000103161	0
ENSMUSG00000102331	0
ENSMUSG00000103265	0
ENSMUSG00000098104	0.365056
ENSMUSG00000104328	0.0389292
ENSMUSG00000103922	0.491746
ENSMUSG00000033845	22.1229
ENSMUSG00000102275	0.381375
ENSMUSG00000025902	27.6333
ENSMUSG00000104238	6.35611e-262
ENSMUSG00000103280	0
ENSMUSG00000104352	0
ENSMUSG00000104046	0
ENSMUSG00000025905	0
ENSMUSG00000103936	0
ENSMUSG00000102907	0
ENSMUSG00000103519	0
ENSMUSG00000093015	0
ENSMUSG00000103090	0
ENSMUSG00000033774	0.0862343
ENSMUSG00000025903	13.5702
ENSMUSG00000104217	1.6595e-11
ENSMUSG00000033813	14.9318
ENSMUSG00000062588	0.317675
ENSMUSG00000104385	0
ENSMUSG00000102213	0
ENSMUSG00000102534	0
ENSMUSG00000103282	0
ENSMUSG00000103845	0.0154722
ENSMUSG00000103329	0
ENSMUSG00000103629	0
ENSMUSG00000102135	0.075331
ENSMUSG00000033740	0.0248151
ENSMUSG00000087247	0.637625
ENSMUSG00000103355	0
ENSMUSG00000102706	0
ENSMUSG00000103709	0
ENSMUSG00000103903	0
ENSMUSG00000048538	0.180344
ENSMUSG00000097797	0.179336
ENSMUSG00000103557	0
ENSMUSG00000103498	0
ENSMUSG00000102768	0
ENSMUSG00000077244	0
ENSMUSG00000102320	0
ENSMUSG00000103067	0
ENSMUSG00000104226	0
ENSMUSG00000101571	0
ENSMUSG00000104428	0
ENSMUSG00000102272	0
ENSMUSG00000065625	0
ENSMUSG00000103411	0.0274357
ENSMUSG00000002459	0.525151
ENSMUSG00000091665	0
ENSMUSG00000033793	28.1979
ENSMUSG00000091305	0
ENSMUSG00000102653	0
ENSMUSG00000085623	0
ENSMUSG00000061024	9.74372
ENSMUSG00000025907	20.0201
ENSMUSG00000090031	0.743856
ENSMUSG00000051285	10.7518
ENSMUSG00000098201	0
ENSMUSG00000103509	0.0612158
ENSMUSG00000099827	0
ENSMUSG00000025912	0.578673
ENSMUSG00000045210	2.42122
ENSMUSG00000097893	0.091501
ENSMUSG00000025909	0.219793
ENSMUSG00000102647	0
ENSMUSG00000086235	0.30433
ENSMUSG00000102253	0
ENSMUSG00000093970	0
ENSMUSG00000103884	0
ENSMUSG00000084353	0.493983
ENSMUSG00000103933	0
ENSMUSG00000076135	0
ENSMUSG00000086195	0
ENSMUSG00000104504	0
ENSMUSG00000066693	0
ENSMUSG00000102316	0
ENSMUSG00000103819	0
ENSMUSG00000102871	0
ENSMUSG00000025911	6.65974
ENSMUSG00000067879	0.271244
ENSMUSG00000079671	1.938
ENSMUSG00000081441	0.0364739
ENSMUSG00000095780	0
ENSMUSG00000046101	0.140068
ENSMUSG00000098234	20.9299
ENSMUSG00000093178	0
ENSMUSG00000099032	0.57529
ENSMUSG00000025916	1.26486
ENSMUSG00000104025	2.12706e-98
ENSMUSG00000087199	0
ENSMUSG00000025915	6.04113
ENSMUSG00000046334	0
ENSMUSG00000088916	0
ENSMUSG00000100212	0
ENSMUSG00000100648	0
ENSMUSG00000088585	0
ENSMUSG00000103448	0
ENSMUSG00000042501	0
ENSMUSG00000103810	0
ENSMUSG00000083422	0
ENSMUSG00000094979	0
ENSMUSG00000081417	0
ENSMUSG00000067851	16.3942
ENSMUSG00000088153	0
ENSMUSG00000102556	0
ENSMUSG00000103494	0
ENSMUSG00000098163	0
ENSMUSG00000101610	0
ENSMUSG00000097628	0
ENSMUSG00000093864	0
ENSMUSG00000098555	0
ENSMUSG00000097171	0
ENSMUSG00000101314	0
ENSMUSG00000057715	0.660057
ENSMUSG00000103825	0
ENSMUSG00000099845	0
ENSMUSG00000103561	0
ENSMUSG00000048960	5.95791
ENSMUSG00000077318	0
ENSMUSG00000101827	0
ENSMUSG00000104518	0
ENSMUSG00000069620	0
ENSMUSG00000042414	0
ENSMUSG00000099498	0
ENSMUSG00000025938	0.207213
ENSMUSG00000025917	34.4131
ENSMUSG00000056763	7.00112
ENSMUSG00000102356	0
ENSMUSG00000101171	0
ENSMUSG00000101476	0
ENSMUSG00000016918	12.0329
ENSMUSG00000077368	0
ENSMUSG00000089358	0
ENSMUSG00000104209	0
ENSMUSG00000067813	0.0385369
ENSMUSG00000097711	0.0823137
ENSMUSG00000102166	0
ENSMUSG00000081201	0
ENSMUSG00000077377	0
ENSMUSG00000101652	0
ENSMUSG00000032769	0
ENSMUSG00000100814	0
ENSMUSG00000025937	5.89729
ENSMUSG00000102982	0
ENSMUSG00000073737	0.0412073
ENSMUSG00000103492	0.0406323
ENSMUSG00000088159	0
ENSMUSG00000082193	0.470874
ENSMUSG00000025935	36.2917
ENSMUSG00000054493	0.0672787
ENSMUSG00000025930	1.62447
ENSMUSG00000092083	0.0114751
ENSMUSG00000102937	0
ENSMUSG00000104149	0
ENSMUSG00000088829	0
ENSMUSG00000005886	5.06626
ENSMUSG00000103506	0
ENSMUSG00000103495	0
ENSMUSG00000099183	0
ENSMUSG00000102639	0
ENSMUSG00000104170	0
ENSMUSG00000087782	0
ENSMUSG00000103085	0.0301678
ENSMUSG00000102664	0.0650777
ENSMUSG00000100652	0
ENSMUSG00000025932	0.768741
ENSMUSG00000095853	0
ENSMUSG00000102588	0
ENSMUSG00000067795	2.35951
ENSMUSG00000025925	6.32756
ENSMUSG00000104379	0.0152498
ENSMUSG00000032719	0.716002
ENSMUSG00000088943	0
ENSMUSG00000104165	0
ENSMUSG00000025921	5.39194
ENSMUSG00000025939	8.89615
ENSMUSG00000102457	0.0240347
ENSMUSG00000100868	0
ENSMUSG00000025920	2.92081
