ID	Description	NES
GO:0019637	organophosphate metabolic process	-1.42835332086463
GO:0001944	vasculature development	-1.77676946802379
GO:0007167	enzyme linked receptor protein signaling pathway	-1.44609551451563
GO:0006082	organic acid metabolic process	-1.50242674721623
GO:0032101	regulation of response to external stimulus	-1.42232029062081
GO:0043436	oxoacid metabolic process	-1.51128807110264
GO:0034097	response to cytokine	-1.53345370521787
GO:0098542	defense response to other organism	-1.46143547617561
GO:0030155	regulation of cell adhesion	-1.49375007252198
GO:0001568	blood vessel development	-1.74204200224585
GO:0002684	positive regulation of immune system process	-1.40349413135808
GO:0019752	carboxylic acid metabolic process	-1.51828040829983
GO:0098655	cation transmembrane transport	-1.4646754748001
GO:0055080	cation homeostasis	-1.38271702889329
GO:0098660	inorganic ion transmembrane transport	-1.53607100105301
GO:0048514	blood vessel morphogenesis	-1.75591121625703
GO:0070848	response to growth factor	-1.44339527540386
GO:0071345	cellular response to cytokine stimulus	-1.53552725016459
GO:0007005	mitochondrion organization	-1.78725765572513
GO:0051272	positive regulation of cellular component movement	-1.60054742264264
GO:0071363	cellular response to growth factor stimulus	-1.46086493379098
GO:0090066	regulation of anatomical structure size	-1.45977066027602
GO:2000147	positive regulation of cell motility	-1.60286078254456
GO:0030335	positive regulation of cell migration	-1.608745067785
GO:0040017	positive regulation of locomotion	-1.57227960105516
GO:0055065	metal ion homeostasis	-1.41792131296578
GO:0044283	small molecule biosynthetic process	-1.45747626432061
GO:0001525	angiogenesis	-1.88622272327543
GO:0098662	inorganic cation transmembrane transport	-1.56304724424105
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	-1.38505263175889
GO:0045087	innate immune response	-1.54229931210158
GO:0042330	taxis	-1.51593411237349
GO:0006935	chemotaxis	-1.54576281585793
GO:0055086	nucleobase-containing small molecule metabolic process	-1.50966005360055
GO:0006753	nucleoside phosphate metabolic process	-1.51727901651303
GO:0009611	response to wounding	-1.50759275061462
GO:0045785	positive regulation of cell adhesion	-1.59580147838516
GO:0001667	ameboidal-type cell migration	-1.53695655807346
GO:0006091	generation of precursor metabolites and energy	-1.9086726827617
GO:0009117	nucleotide metabolic process	-1.53236037468735
GO:0009259	ribonucleotide metabolic process	-1.58691904500584
GO:0019693	ribose phosphate metabolic process	-1.56304030769316
GO:0006163	purine nucleotide metabolic process	-1.59435204822134
GO:1904062	regulation of cation transmembrane transport	-1.4554844372518
GO:0009150	purine ribonucleotide metabolic process	-1.60725206069804
GO:0050900	leukocyte migration	-1.76166280428917
GO:0032103	positive regulation of response to external stimulus	-1.465525449788
GO:0072521	purine-containing compound metabolic process	-1.59157667798051
GO:0031589	cell-substrate adhesion	-1.60378857781377
GO:0042060	wound healing	-1.6753304379442
GO:0010631	epithelial cell migration	-1.59036206221626
GO:0090130	tissue migration	-1.57890397836151
GO:0090132	epithelium migration	-1.57890397836151
GO:0015980	energy derivation by oxidation of organic compounds	-1.82236722030887
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	-1.56827428864642
GO:0046034	ATP metabolic process	-2.03790138692772
GO:0045765	regulation of angiogenesis	-1.89842900903413
GO:0072593	reactive oxygen species metabolic process	-1.55377996055252
GO:1901342	regulation of vasculature development	-1.92095908252425
GO:0006066	alcohol metabolic process	-1.53485246292483
GO:0030198	extracellular matrix organization	-1.83395226144467
GO:0043062	extracellular structure organization	-1.83395226144467
GO:0045229	external encapsulating structure organization	-1.83395226144467
