tissue,ind_id,age,expression
Cortex,841,2,2.5705393216720993
Cortex,842,2,2.697620862725182
Cortex,833,5,2.6321003719685936
Cortex,2260,11,2.8131195494479084
Cortex,460502,20,2.545356087625913
Cortex,2067,32,2.8709793600517144
Cortex,1979,61,2.7508980395103735
Cortex,700,93,2.4620262987413155
Cortex,705,93,2.782774180213836
Cortex,2053,144,2.6684275271518083
Cortex,1753,232,2.698898903923169
Cortex,1625,303,2.630815127070349
Cortex,586,649,2.473486162914879
Cortex,561,654,2.5457853571499975
Cortex,457,904,2.522348067137266
Lung,841,2,3.5098207802859935
Lung,842,2,3.6925850096759776
Lung,833,5,3.343365014274849
Lung,2260,11,3.374591255723414
Lung,460502,20,3.3323767738223258
Lung,2067,32,3.2491119786966656
Lung,1979,61,3.4365708717206362
Lung,700,93,3.148729040157392
Lung,705,93,3.570414206863904
Lung,2053,144,3.361085366776134
Lung,1753,232,3.263418111744198
Lung,1625,303,3.0801924348147725
Lung,586,649,3.0157111363351947
Lung,561,654,2.637948391665266
Lung,457,904,2.7860408095098967
Lung,465,904,2.597023135204153
Liver,841,2,2.858175381727659
Liver,842,2,2.8917371428554555
Liver,833,5,2.631316382970593
Liver,2260,11,2.7203025467583637
Liver,460502,20,2.5272799625166447
Liver,2067,32,2.8748664657594736
Liver,1979,61,2.966346653279099
Liver,700,93,2.5570027355638447
Liver,705,93,2.815856570767711
Liver,2053,144,2.7549417441771693
Liver,1753,232,2.9445139358098507
Liver,1625,303,2.9623638484786583
Liver,586,649,2.71385809000959
Liver,561,654,2.602116420564034
Liver,457,904,2.862902526455282
Liver,465,904,2.6540751527532134
Muscle,841,2,4.2066463621173495
Muscle,842,2,4.1762803930208126
Muscle,833,5,3.998046943329442
Muscle,2260,11,3.041412870295349
Muscle,460502,20,3.1972968772084345
Muscle,2067,32,4.785412460792599
Muscle,1979,61,5.442900911353998
Muscle,700,93,5.175149797060229
Muscle,705,93,5.919863512924288
Muscle,2053,144,4.849494162787419
Muscle,1753,232,5.126254930808898
Muscle,1625,303,5.285161883539186
Muscle,586,649,5.681845662755368
Muscle,561,654,5.630373204348315
Muscle,457,904,4.560077564501144
Muscle,465,904,5.090936234851246
