tissue,ind_id,age,expression
Cortex,841,2,0.517585050223929
Cortex,842,2,0.9271838274143133
Cortex,833,5,0.6411213136698561
Cortex,2260,11,0.2391629131659983
Cortex,460502,20,0.4705709894518484
Cortex,2067,32,0.27942781541670075
Cortex,1979,61,0.28566482259840326
Cortex,700,93,0.44571902126082397
Cortex,705,93,0.19273723161740633
Cortex,2053,144,0.3100261965521484
Cortex,1753,232,0.3491845736757683
Cortex,1625,303,7.325855623031728e-4
Cortex,586,649,0.074111601654827
Cortex,561,654,0.33579676445299844
Cortex,457,904,0.6107137079580058
Lung,841,2,1.9671888530578312
Lung,842,2,2.166251058751587
Lung,833,5,2.2383382808176315
Lung,2260,11,1.0778216295142153
Lung,460502,20,0.47575806673543636
Lung,2067,32,3.2025882386996956
Lung,1979,61,0.8764375996052602
Lung,700,93,1.5634293210102908
Lung,705,93,0.691246149001514
Lung,2053,144,1.1867102597382178
Lung,1753,232,0.8412295513382886
Lung,1625,303,2.028177912506921
Lung,586,649,0.73555594044418
Lung,561,654,7.608760210011289
Lung,457,904,6.192086948443497
Lung,465,904,3.82767083209958
Liver,841,2,6.065679783208637
Liver,842,2,5.929527159020121
Liver,833,5,6.013481103654107
Liver,2260,11,5.664625786261003
Liver,460502,20,5.292436562349272
Liver,2067,32,5.130742144650246
Liver,1979,61,5.33993855493256
Liver,700,93,5.52720638407883
Liver,705,93,5.0634158962323355
Liver,2053,144,5.510627765471137
Liver,1753,232,5.011509153767241
Liver,1625,303,4.905837586224072
Liver,586,649,4.902774797795761
Liver,561,654,5.637381063138867
Liver,457,904,6.141879529370944
Liver,465,904,5.4002894346265675
Muscle,841,2,3.064234581040217
Muscle,842,2,3.0790170142811935
Muscle,833,5,2.981447302865372
Muscle,2260,11,2.556642639456283
Muscle,460502,20,4.346483691865433
Muscle,2067,32,2.3782790575909725
Muscle,1979,61,1.5184880179978593
Muscle,700,93,3.5357641852160344
Muscle,705,93,2.554977596438468
Muscle,2053,144,2.806247235499882
Muscle,1753,232,3.5818823093440195
Muscle,1625,303,2.8913238163192823
Muscle,586,649,1.3069887682368468
Muscle,561,654,1.2942008263529536
Muscle,457,904,3.4315973412207836
Muscle,465,904,3.465023953391571
