tissue,ind_id,age,expression
Cortex,841,2,0.27782093348732195
Cortex,842,2,0.14093424050344872
Cortex,833,5,0.13476492805063642
Cortex,2260,11,0.03799082156172904
Cortex,460502,20,0.07734725650556969
Cortex,2067,32,0.08813522527545062
Cortex,1979,61,0.005160074095843625
Cortex,700,93,0.14887488945947427
Cortex,705,93,0.003628317992785964
Cortex,2053,144,0.10361383564477436
Cortex,1753,232,0.10086947272738617
Cortex,1625,303,0.1881492121161945
Cortex,586,649,0.09101621134590687
Cortex,561,654,0.0603219161381732
Cortex,457,904,3.523397963382108e-12
Lung,841,2,0.009258608283626285
Lung,842,2,0.03899853811937179
Lung,833,5,0.011897770194661256
Lung,2260,11,0.044947559859668876
Lung,460502,20,0.09530549270206058
Lung,2067,32,0.07670858415696229
Lung,1979,61,0.16154231643092057
Lung,700,93,0.1707494432780989
Lung,705,93,0.6357521278966375
Lung,2053,144,0.21278681746215292
Lung,1753,232,0.21353150112593566
Lung,1625,303,0.3948736631784277
Lung,586,649,0.22686100897448974
Lung,561,654,0.8835535386511163
Lung,457,904,0.11833169068569498
Lung,465,904,0.04879982529152833
Liver,841,2,2.574798542418354
Liver,842,2,1.8031013241964353
Liver,833,5,3.025408632303804
Liver,2260,11,4.9597665572679634
Liver,460502,20,8.423872086843735
Liver,2067,32,8.101390659400995
Liver,1979,61,7.728159704122873
Liver,700,93,8.410056185214595
Liver,705,93,8.378613687360167
Liver,2053,144,8.989490494143066
Liver,1753,232,8.616273451513326
Liver,1625,303,7.863451319187211
Liver,586,649,8.53081496145013
Liver,561,654,7.0537714647351715
Liver,457,904,6.241136153554503
Liver,465,904,4.742844900162294
Muscle,841,2,0.154628872416683
Muscle,842,2,0.30941690828848684
Muscle,833,5,0.07549511699032274
Muscle,2260,11,0.04628969437714638
Muscle,460502,20,0.1259627536199066
Muscle,2067,32,0.8796310047945853
Muscle,1979,61,1.6536158205299336
Muscle,700,93,0.3779116683011433
Muscle,705,93,1.0289222642935656
Muscle,2053,144,0.44185168682871573
Muscle,1753,232,0.5214176309422204
Muscle,1625,303,2.1857024096708777
Muscle,586,649,0.3705650738608408
Muscle,561,654,0.3029205494117808
Muscle,457,904,0.4693455151819555
Muscle,465,904,0.19483073480758373
