PC1,PC2,PC3,PC4,Tissue,age
-21.724813149233867,-51.60352026754574,-17.45927390467264,-18.416429852283944,Adipose Tissue,50-59
-39.93391927405718,-35.818421318888355,-6.306895484566547,-12.240966394551982,Adipose Tissue,40-49
-34.612847255226505,-36.73304367358013,-10.740561365844277,-16.710461259349586,Adipose Tissue,50-59
-30.682314888987108,-42.24104222452461,-11.566049522749152,-13.742448077709351,Adipose Tissue,60-69
-25.187817436643684,-39.045652862576404,-4.433141188761172,2.381545348744881,Adipose Tissue,60-69
-18.439306284578652,-43.45080417477076,-2.7296083784669407,-9.570832685573661,Adipose Tissue,50-59
-30.258378231133378,-46.561918953399214,-4.457470042854987,-13.47778403419856,Adipose Tissue,60-69
-35.560979788100056,-53.43323179545904,-8.510040731675577,-20.555024854752443,Adipose Tissue,50-59
-25.236536614873664,-41.072411258580125,0.5542045639613132,0.4010136482253863,Adipose Tissue,50-59
-38.425364608610664,-46.87638851816634,-7.669154209569501,-23.223212634331297,Adipose Tissue,40-49
-27.65512817511789,-31.995231228214546,7.260458531101547,-4.2212712329596,Adipose Tissue,50-59
-27.624376185212643,-47.94295700152178,-1.277372591867773,-6.90539463066399,Adipose Tissue,50-59
-34.15296073408323,-43.45077256255132,-4.4747701325912015,-9.99052801365572,Adipose Tissue,60-69
-15.298860058020919,-56.67331181765405,0.7657960708422117,-22.05326795726518,Adipose Tissue,60-69
-25.487063438294452,-39.04087012382335,-8.666751869179707,-3.594986975333948,Adipose Tissue,50-59
-25.526442212439555,-48.09365062143913,-10.683616556322677,-15.56691911450578,Adipose Tissue,70-79
-20.498644956639932,-43.7162845102052,-9.602663567440658,-12.070965760147319,Adipose Tissue,60-69
-22.75276246532167,-48.17886816385292,-12.657374299997713,-18.461694708114713,Adipose Tissue,60-69
-31.25562726886667,-37.89997627163362,-4.289835508683625,-12.582561900939057,Adipose Tissue,70-79
-42.70234072086589,-43.54662864064992,-5.355349019913238,-19.015128156346528,Adipose Tissue,50-59
-31.9583461988463,-40.562038641263236,-5.067950357958475,-14.953239622761108,Adipose Tissue,60-69
-25.515365112095324,-56.391073845927004,-8.479152630146267,-23.58788104768212,Adipose Tissue,60-69
-24.493441848582954,-36.92901528683742,4.862932795916304,3.260659045226352,Adipose Tissue,60-69
-32.30517755865846,-40.69969932650765,2.8440176335330856,-3.324173606799768,Adipose Tissue,50-59
-27.40373226096047,-52.34759812733771,-5.413238990609243,-14.34575996653763,Adipose Tissue,60-69
-29.6824480196234,-50.36094010406993,-17.044051385709167,-20.19825048745929,Adipose Tissue,60-69
-19.502198643790543,-49.036342962842795,-7.562072184057748,-11.396442318448658,Adipose Tissue,60-69
-25.532663958567287,-44.318485675970145,-6.112223456151037,-14.195655525083376,Adipose Tissue,50-59
-30.273444532205204,-47.74639856093919,-9.15227243760732,-14.000591174665399,Adipose Tissue,50-59
-30.89086998285056,-37.72855423852683,0.8818005912663044,-13.450902336295528,Adipose Tissue,40-49
-30.13029534003715,-43.1219280932505,-10.076570682815886,-20.435841206221045,Adipose Tissue,50-59
-38.20243773011686,-38.20672632917944,-8.197859983286904,-19.023671960305816,Adipose Tissue,50-59
-32.27718371847383,-44.412578776715144,-8.95131956299138,-12.276767565643079,Adipose Tissue,50-59
-27.383121183641887,-47.284637597856545,-8.000879331205017,-17.14068508202594,Adipose Tissue,50-59
-32.973560215881946,-44.489478462106284,-1.778066787225691,-13.657646355900418,Adipose Tissue,40-49
1.2526659611649398,-53.6204935456761,10.330969917086595,-30.162026386372702,Blood Vessel,50-59
-16.03051743428401,-50.393041356456045,-3.141151306294654,-35.87638457157329,Blood Vessel,40-49
-5.565184592217419,-51.70396496456701,0.18351554147774668,-27.56890633357955,Blood Vessel,50-59
-9.044757939251685,-50.51035892089561,-9.434916507082693,-26.444158551929306,Blood Vessel,60-69
-9.436148258216816,-54.00810098014983,-1.6589936923167155,-20.03599900964587,Blood Vessel,60-69
-5.721227251206305,-48.13489048954418,-1.8223330154436852,-20.007977793028328,Blood Vessel,50-59
-18.516082026873462,-48.9591513999206,-6.817874371135377,-27.445483127905643,Blood Vessel,60-69
-16.103534043357943,-48.325991702202835,-4.510757574124993,-20.21133062246075,Blood Vessel,50-59
1.0944772801988512,-55.32574837778223,7.67596393154313,-26.708261976264353,Blood Vessel,50-59
-20.6231146626887,-50.43678402760346,16.020245835873123,-29.454989819054326,Blood Vessel,40-49
-13.996371567000356,-51.52409464733634,15.239436915869366,-27.92362379775617,Blood Vessel,50-59
-9.492226614347176,-59.20470492511279,14.758240947190775,-19.85334251739364,Blood Vessel,50-59
-8.240213421674056,-53.1749529245321,6.904434503905194,-22.965448978708245,Blood Vessel,60-69
-4.9787081505560975,-56.296729642516866,8.394803071732284,-21.017983865794307,Blood Vessel,60-69
-4.577849427483855,-49.65521341922569,1.190711332148736,-28.1758001406069,Blood Vessel,50-59
-13.097448514207665,-54.17101330425582,-10.40869298960057,-29.20256900142753,Blood Vessel,70-79
-0.21794657343900253,-46.95115745681945,-5.298834549043997,-33.25009248881552,Blood Vessel,60-69
-19.849776819719285,-48.22740607920511,4.892032547362561,-19.26801352940231,Blood Vessel,60-69
-4.042122671643625,-58.337519307190846,3.263314867492715,-34.86798075840865,Blood Vessel,70-79
-24.89349324851888,-42.40766604928337,-5.586677439609396,-24.986576451797323,Blood Vessel,50-59
-13.944431889923903,-55.63874321680454,-3.9489896925143317,-28.736180837921644,Blood Vessel,60-69
-11.750364315806067,-53.94237298585732,-0.4427900289572011,-33.190050683186676,Blood Vessel,60-69
-11.065462778231716,-51.40879581117011,14.664835436569478,-24.746525960961726,Blood Vessel,60-69
-6.029830951679031,-49.26363308694277,14.727835344361637,-27.312471191942898,Blood Vessel,50-59
-14.037904103360923,-53.87537012288589,-0.21654324714505122,-31.526135397709115,Blood Vessel,60-69
-27.39184347935503,-22.491856802955247,-17.73452164657439,-25.764114716168347,Blood Vessel,60-69
-5.23238626756087,-52.29517067014376,-0.0700867231936661,-32.62462636345238,Blood Vessel,60-69
-18.46530362290365,-50.55257979793332,-0.28135991842888214,-28.00715083167383,Blood Vessel,50-59
-9.668774378432243,-59.140054627113194,8.03337762086637,-22.658178755419513,Blood Vessel,50-59
-12.924729350574518,-40.50296702353127,14.831166719336348,-18.97429637444083,Blood Vessel,40-49
-5.440828833525193,-59.83325129190583,5.488930849816828,-31.48174265675421,Blood Vessel,50-59
-2.7109277091123323,-46.063040780843394,7.488904551536021,-29.23805820791714,Blood Vessel,50-59
-2.5397814128701874,-47.32070338517474,-0.19283759137991272,-24.25472665934963,Blood Vessel,50-59
-8.073231281868207,-56.65180558860527,5.378193262950985,-22.075569633748884,Blood Vessel,50-59
-3.9870707515669426,-59.79367310027731,11.223011059505946,-27.637869581161247,Blood Vessel,40-49
121.50489191533221,66.72751627158608,-2.464033934604953,-25.522741695266326,Brain,50-59
120.36141663736487,69.60187256723053,-8.611885391423947,-32.69797273560568,Brain,40-49
121.43525492420439,60.44474318902707,-9.480894065161584,-26.429917819741785,Brain,50-59
123.99667083696554,71.65167936626926,-6.465924556216867,-23.32822967675819,Brain,60-69
123.73722892322718,74.51321769487177,-8.757812218538849,-20.96698888779637,Brain,60-69
119.84255857041965,64.4753041831094,-8.154317634137154,-27.199147019455324,Brain,50-59
119.33952657117634,64.91667193287937,-7.751545883345963,-29.295638144014497,Brain,60-69
122.34922675813579,67.82671224640252,-0.09617659703874758,-27.012884749816752,Brain,50-59
111.50902767587176,65.7861284164565,-7.970847201920372,-27.333619485639623,Brain,50-59
125.61086823375635,66.99852274946522,-0.04141811085591821,-29.519037860007703,Brain,40-49
119.99980777252858,69.90145702432987,-7.264509187270113,-24.258783193615546,Brain,50-59
123.894439948835,62.51844770698678,-2.363807344294331,-28.90929825610663,Brain,50-59
116.66661165877728,57.85725736687825,-7.851271626214168,-25.718924890916487,Brain,60-69
123.39049192392493,68.98579286490357,-1.6305179215577505,-22.62220893695676,Brain,60-69
123.16878257269467,61.291829964108054,-2.401935381463163,-33.528592753712026,Brain,50-59
104.5899068440544,53.65645272834524,-13.406175904923725,-25.05976800576324,Brain,70-79
120.65614880517128,69.90663798001736,-8.501619345787834,-23.382343341838283,Brain,60-69
113.64385032869795,63.348525798259544,-3.8845525931290545,-24.478502058314834,Brain,60-69
109.96193949582442,54.83695153230057,-14.978792936448535,-28.127729745946734,Brain,70-79
120.218294450529,66.43935856554563,-4.515741621851073,-28.431776897396144,Brain,50-59
117.29444854280463,60.69290567458568,-9.855968440868256,-27.43479436783789,Brain,60-69
112.82717569791878,63.923443313060304,-5.433335949106315,-26.01436559775393,Brain,60-69
120.34109675743797,69.29608325141146,-9.816312744125582,-19.745558712484648,Brain,60-69
97.15263256371526,57.2273814001411,-15.759391028144684,-28.281183109906426,Brain,50-59
120.33466386608984,71.36043650776352,-8.291485678027426,-21.73134484107993,Brain,60-69
122.68572407927209,62.75592708385048,-1.1878040779245438,-29.3717948840923,Brain,60-69
123.78369998744061,60.78718899239016,-1.522691251910645,-31.090050377139438,Brain,60-69
122.70368782290858,66.65163021251203,-4.001909819566764,-24.977726590990514,Brain,50-59
127.92539115475105,68.46729504979358,0.19374688659869269,-29.303905191018824,Brain,50-59
122.24967398709943,64.46062448049281,-3.218442376710796,-31.96644427782668,Brain,40-49
118.79300388570803,53.15117552467546,-4.840077152088656,-33.05055129621651,Brain,50-59
102.5978860419562,43.630218916428184,-6.38731852838958,-30.93276166403365,Brain,50-59
119.01909376693288,68.3466566856824,-8.494380997051985,-21.15639502734023,Brain,50-59
123.14553934538571,75.49345388317971,-5.66169624704284,-22.25884364749104,Brain,50-59
113.11486045145945,65.21946545111228,-19.51721076462159,-24.2091061033748,Brain,40-49
-52.97221907871981,-5.0356057056938255,-42.3379986473504,-19.520168836701437,Lung,50-59
-56.555231712149094,-22.432268915133648,-33.02436750640815,-45.245291707074394,Lung,40-49
-59.67089808648342,-14.288381877465286,-38.78501966577068,-31.000964186914054,Lung,50-59
-41.175956694668464,-35.01179259121339,-33.48158656465872,-26.29081936342105,Lung,60-69
-66.20085371264119,-13.163866011093647,-38.56535603122706,-41.19314320715926,Lung,60-69
-59.97666799767733,-11.14284063093898,-18.660520456194657,-13.348102068750201,Lung,50-59
-58.94242837652776,5.687747516924805,-29.917019392405688,-21.840358299203668,Lung,60-69
-65.69577707729209,-0.08942527011344667,-38.47989141134825,-44.630045904648455,Lung,50-59
-69.69291978137322,-7.266586674247859,-41.36886656672567,-41.21297426039588,Lung,50-59
-62.4274537559603,-10.150372903597308,-39.44784073391154,-39.76038412008171,Lung,40-49
-53.674944388299686,-2.6470875410421977,-36.45624945233792,-33.41593857823051,Lung,50-59
-60.84938378899638,-12.078307395496163,-49.756429239033174,-28.358267707268034,Lung,50-59
-42.09477189820425,-12.535657518642896,-48.83568870422299,-15.47130432047858,Lung,60-69
-70.06003230894754,-5.987019447707727,-39.8213218132472,-48.6806019231957,Lung,60-69
-61.2420150873779,2.0850626228990827,-42.971284515185936,-36.7692533813867,Lung,50-59
-67.13103177856858,-13.814261999273388,-38.8729762841458,-36.65729689470493,Lung,70-79
-71.54269486178892,-10.214906474593171,-38.09620370060937,-51.8373218772445,Lung,60-69
-68.8490249638938,3.9635020564310337,-24.976585006778866,-41.110929441669796,Lung,60-69
-57.94152348304559,-23.701886364457028,-42.37520798727105,-45.84318180288716,Lung,70-79
-58.132661393903554,-11.08842224733998,-31.525637050984095,-33.07690965986052,Lung,50-59
