tis1,tis2,rho,p,adjusted_p
Adipose Tissue,Blood,-0.22074130013270907,3.0941289752700377e-5,5.443660028467833e-4
Adipose Tissue,Blood Vessel,0.30463816540651534,5.965282416821108e-9,1.9490765817486925e-7
Adipose Tissue,Brain,0.3716949727320531,6.572240590734334e-13,5.010581523197113e-11
Adipose Tissue,Lung,0.026853065376968733,0.6166047989739659,1
Adipose Tissue,Muscle,0.3188991153807247,1.0290700716411774e-9,3.9227409707959977e-8
Adipose Tissue,Nerve,-0.15656702524876684,0.0033166645025824305,0.03160721531313123
Adipose Tissue,Pituitary,0.1720416730931217,0.0012326466212060835,0.014096280331445827
Adipose Tissue,Skin,-0.3534895046798709,9.715590892437615e-12,5.555269874160697e-10
Adipose Tissue,Thyroid,0.14488518324861663,0.0066236172755630785,0.05877391304754169
Blood,Adipose Tissue,-0.22074130013270907,3.0941289752700377e-5,5.443660028467833e-4
Blood,Blood Vessel,0.13851326943035283,0.009470265289771886,0.07735707636906096
Blood,Brain,0.1963156304960313,2.1935508813068874e-4,0.0031356217195826733
Blood,Lung,0.028370187714650583,0.5968294430734871,1
Blood,Muscle,0.012743827636527535,0.8122131108649069,1
Blood,Nerve,-0.24334642296416864,4.11027962959594e-6,1.0445393207435704e-4
Blood,Pituitary,0.16840057948268528,0.0015678313865103153,0.017075600818501194
Blood,Skin,-0.19115741454791302,3.2233415203242763e-4,0.004095715213535301
Blood,Thyroid,-0.04217600098755541,0.43153471727563186,1
Blood Vessel,Adipose Tissue,0.30463816540651534,5.965282416821108e-9,1.9490765817486925e-7
Blood Vessel,Blood,0.13851326943035283,0.009470265289771886,0.07735707636906096
Blood Vessel,Brain,0.18250981722312648,6.011537204546345e-4,0.007236488433258331
Blood Vessel,Lung,0.2304508830938729,1.3326704829017422e-5,2.770933017141953e-4
Blood Vessel,Muscle,0.06781536849437866,0.20564621086961032,1
Blood Vessel,Nerve,-0.01790204358464582,0.7385718269145938,1
Blood Vessel,Pituitary,0.14139580187194833,0.008069871542645414,0.06835948645235564
Blood Vessel,Skin,-0.21892075332749086,3.6087211249138274e-5,5.89550782608175e-4
Blood Vessel,Thyroid,0.15778072311891234,0.0030783038209521297,0.03061114533979739
Brain,Adipose Tissue,0.3716949727320531,6.572240590734334e-13,5.010581523197113e-11
Brain,Blood,0.1963156304960313,2.1935508813068874e-4,0.0031356217195826733
Brain,Blood Vessel,0.18250981722312648,6.011537204546345e-4,0.007236488433258331
Brain,Lung,0.19252282465182666,2.913904209611237e-4,0.003920326908164103
Brain,Muscle,-0.03974860524726445,0.45853513380709343,1
Brain,Nerve,0.28734297075694226,4.44242814585368e-8,1.2700662018402798e-6
Brain,Pituitary,0.11317732639106595,0.03429512881499786,0.2451198002850157
Brain,Skin,0.2218032857690864,2.826867022311215e-5,5.387906709660337e-4
Brain,Thyroid,0.2045080911195133,1.1662720673719856e-4,0.0017782980373644652
Lung,Adipose Tissue,0.026853065376968733,0.6166047989739659,1
Lung,Blood,0.028370187714650583,0.5968294430734871,1
Lung,Blood Vessel,0.2304508830938729,1.3326704829017422e-5,2.770933017141953e-4
Lung,Brain,0.19252282465182666,2.913904209611237e-4,0.003920326908164103
Lung,Muscle,0.23378855223677297,9.891429542084018e-6,2.262325005483461e-4
Lung,Nerve,-0.01759861911710945,0.742845404448912,1
Lung,Pituitary,0.1298656721055663,0.01504986868996874,0.11869451407298082
Lung,Skin,-0.3973343402388763,1.0986428198337618e-14,1.256384182301477e-12
Lung,Thyroid,0.0271564898445051,0.612626874195648,1
Muscle,Adipose Tissue,0.3188991153807247,1.0290700716411774e-9,3.9227409707959977e-8
Muscle,Blood,0.012743827636527535,0.8122131108649069,1
Muscle,Blood Vessel,0.06781536849437866,0.20564621086961032,1
Muscle,Brain,-0.03974860524726445,0.45853513380709343,1
Muscle,Lung,0.23378855223677297,9.891429542084018e-6,2.262325005483461e-4
