PC1,PC2,PC3,PC4,Tissue,age
-80.45608109151341,46.1368154582153,-16.683283204617133,16.63156329866216,Cortex,60-69
-111.97424215806123,42.55239659959887,-18.310282735553226,-12.033232982624543,Cortex,50-59
-104.25328220158084,44.91244539185272,-13.504477587572802,-0.2865949173125893,Cortex,60-69
-78.55088882343415,23.04319222031613,-15.68936435338391,44.96947895465221,Cortex,60-69
-119.87161429462749,44.944731942827616,-19.96478265474384,-15.74957604125586,Cortex,30-39
-92.6790098222416,48.454014096563185,-22.433969759693657,22.50393076127075,Cortex,60-69
-114.55720391410954,44.12224316490938,-20.632430083223674,-10.351287699450477,Cortex,60-69
-107.33137008252001,41.7035714820686,-25.976004906943363,9.18860120669794,Cortex,40-49
-111.60412601570893,43.662131620431836,-22.78648564129965,-1.4640789273881383,Cortex,50-59
-78.76426296547557,49.35228276083806,-14.17892207220729,0.6448187299393959,Cortex,50-59
-112.95096522270724,43.574899850379936,-22.13711759380183,-5.5696100766632775,Cortex,50-59
-103.41320872142661,42.2565885823616,-22.146675715807547,17.685993344825388,Cortex,60-69
-102.50078149172222,44.11082437838508,-17.86204723956294,4.3221311616473175,Cortex,50-59
-115.95962078397156,42.606065649359046,-20.12246521553881,-12.50628877819233,Cortex,40-49
-106.4764455852836,41.86621553383954,-13.320146376458183,-9.775222145362232,Cortex,20-29
-108.85940383478136,45.55468096837095,-18.36465360691396,1.6072596847142995,Cortex,40-49
-105.9686383325446,44.75947949289905,-22.37244960864394,1.2275410407154712,Cortex,50-59
-71.94111836388245,38.83919711194762,-13.565954255595683,25.600519800203784,Cortex,40-49
-120.44678495806757,39.04530163474546,-20.611633311136103,-14.926618733193834,Cortex,50-59
-111.41732081378373,43.733327982440585,-25.060830446106166,2.5384563231160193,Cortex,60-69
-114.88907467768871,43.48997749084081,-18.885273394856526,-10.43526747309432,Cortex,60-69
-118.32088120760176,44.628492561938124,-16.629590354714132,-19.53901903692655,Cortex,60-69
-117.88266729108864,39.37429410946475,-14.455445547650333,-26.28658358256727,Cortex,50-59
-68.07486283040544,46.041652879748234,-10.705531242311206,23.725817675727825,Cortex,50-59
-88.28570097799158,44.20843282116185,-14.369990009770106,10.740675581284039,Cortex,40-49
